"RelativePath"                                                                , "Width", "Height", "Format"
"particles\cirrus_01.dds"                                                     , "512"  , "512"   , "dds"
"particles\cirrus_02.dds"                                                     , "512"  , "512"   , "dds"
"particles\cirrus_03.dds"                                                     , "512"  , "512"   , "dds"
"particles\cirrus_04.dds"                                                     , "512"  , "512"   , "dds"
"particles\cirrus_strip.dds"                                                  , "512"  , "1024"  , "dds"
"particles\cloud_alpha_01.dds"                                                , "256"  , "256"   , "dds"
"particles\cloud_puff_alpha_01.dds"                                           , "64"   , "64"    , "dds"
"particles\cloud_smoke_alpha_01.dds"                                          , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_02.dds"                                          , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_03.dds"                                          , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_04.dds"                                          , "128"  , "512"   , "dds"
"particles\cloud_smoke_alpha_05.dds"                                          , "128"  , "512"   , "dds"
"particles\cloud_smoke_alpha_08.dds"                                          , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_09.dds"                                          , "128"  , "128"   , "dds"
"particles\cloud_smoke_alpha_10.dds"                                          , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_11.dds"                                          , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_12_blur.dds"                                     , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_12.dds"                                          , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_13.dds"                                          , "128"  , "128"   , "dds"
"particles\cloud_smoke_alpha_14.dds"                                          , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_15.dds"                                          , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_16.dds"                                          , "256"  , "1024"  , "dds"
"particles\cloud_smoke_alpha_17.dds"                                          , "256"  , "1024"  , "dds"
"particles\cloud_smoke_alpha_18.dds"                                          , "256"  , "256"   , "dds"
"particles\cloud_smoke_alpha_19.dds"                                          , "128"  , "512"   , "dds"
"particles\cloud_speck_alpha_01.dds"                                          , "64"   , "64"    , "dds"
